,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
187,Climate Change Response Act 2002,https://en.wikipedia.org/wiki/Climate_Change_Response_Act_2002,7,0,0,6,0,0,0,0,0,0.8571428571,0,0,0,0.8571428571,25823875,Allow all users (no expiry set),5510,16 January 2010,Alan Liefting,46,0,2010-01-16,2010-01,2010
188,Climate change in Suriname,https://en.wikipedia.org/wiki/Climate_change_in_Suriname,15,0,8,0,0,1,0,0,0.5333333333,0,0.06666666667,0,0,0.5333333333,59045450,Allow all users (no expiry set),7733,13 November 2018,Jarble,36,0,2018-11-13,2018-11,2018
189,Climate change in Malaysia,https://en.wikipedia.org/wiki/Climate_change_in_Malaysia,15,1,6,2,0,2,0,0,0.4,0.1333333333,0.1333333333,0.06666666667,0,0.6,59045474,Allow all users (no expiry set),15035,13 November 2018,Jarble,41,1,2018-11-13,2018-11,2018
190,Climate change in Oregon,https://en.wikipedia.org/wiki/Climate_change_in_Oregon,6,1,0,2,0,3,0,0,0,0.3333333333,0.5,0.1666666667,0,0.5,54375096,Allow all users (no expiry set),9794,23 June 2017,BD2412,43,1,2017-06-23,2017-06,2017
191,Garnaut Climate Change Review,https://en.wikipedia.org/wiki/Garnaut_Climate_Change_Review,22,0,13,2,0,7,0,0,0.5909090909,0.09090909091,0.3181818182,0,0,0.6818181818,14641464,Allow all users (no expiry set),15849,10 December 2007,Robgregory2302,152,0,2007-12-10,2007-12,2007
192,Climate change in Norway,https://en.wikipedia.org/wiki/Climate_change_in_Norway,83,30,6,1,2,8,0,4,0.07228915663,0.01204819277,0.09638554217,0.3614457831,0.02409638554,0.4698795181,37292837,Allow all users (no expiry set),73485,11 October 2012,Watti Renew,146,1,2012-10-11,2012-10,2012
193,2008 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2008_United_Nations_Climate_Change_Conference,17,0,3,2,0,2,0,0,0.1764705882,0.1176470588,0.1176470588,0,0,0.2941176471,19790698,Allow all users (no expiry set),15926,15 October 2008,Simuove,85,0,2008-10-15,2008-10,2008
194,Climate change in New Hampshire,https://en.wikipedia.org/wiki/Climate_change_in_New_Hampshire,3,1,0,1,0,1,0,0,0,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,54375084,Allow all users (no expiry set),6391,23 June 2017,BD2412,40,1,2017-06-23,2017-06,2017
195,Climate change in North Dakota,https://en.wikipedia.org/wiki/Climate_change_in_North_Dakota,3,1,0,1,0,1,0,0,0,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,54375091,Allow all users (no expiry set),6975,23 June 2017,BD2412,32,1,2017-06-23,2017-06,2017
196,Psychology of climate change denial,https://en.wikipedia.org/wiki/Psychology_of_climate_change_denial,38,32,1,0,0,1,0,0,0.02631578947,0,0.02631578947,0.8421052632,0,0.8684210526,62543365,Allow all users (no expiry set),39897,9 December 2019,Oliviabarz,83,2,2019-12-09,2019-12,2019
197,Surveys of scientists' views on climate change,https://en.wikipedia.org/wiki/Surveys_of_scientists%27_views_on_climate_change,36,16,6,0,0,7,0,0,0.1666666667,0,0.1944444444,0.4444444444,0,0.6111111111,34060450,Allow all users (no expiry set),33823,14 December 2011,Itsmejudith,451,2,2011-12-14,2011-12,2011
198,Climate change in the Republic of Ireland,https://en.wikipedia.org/wiki/Climate_change_in_the_Republic_of_Ireland,32,2,2,1,0,4,0,0,0.0625,0.03125,0.125,0.0625,0,0.15625,67525401,Allow all users (no expiry set),18327,28 April 2021,Smirkybec,38,1,2021-04-28,2021-04,2021
199,CCS and climate change mitigation,https://en.wikipedia.org/wiki/CCS_and_climate_change_mitigation,19,9,3,1,1,2,0,0,0.1578947368,0.05263157895,0.1052631579,0.4736842105,0.05263157895,0.7368421053,58783073,Allow all users (no expiry set),18192,16 October 2018,LDabbas,90,0,2018-10-16,2018-10,2018
200,Avoiding Dangerous Climate Change (2005 conference),https://en.wikipedia.org/wiki/Avoiding_Dangerous_Climate_Change_(2005_conference),8,0,0,2,0,2,0,1,0,0.25,0.25,0,0,0.25,10086576,Allow all users (no expiry set),11626,16 March 2007,Gralo,472,0,2007-03-16,2007-03,2007
201,Climate change in New York City,https://en.wikipedia.org/wiki/Climate_change_in_New_York_City,26,2,2,5,0,6,0,0,0.07692307692,0.1923076923,0.2307692308,0.07692307692,0,0.3461538462,24756256,Allow all users (no expiry set),16465,20 October 2009,Rosalieroxx,133,1,2009-10-20,2009-10,2009
202,Climate change in Nevada,https://en.wikipedia.org/wiki/Climate_change_in_Nevada,2,1,1,0,0,0,0,0,0.5,0,0,0.5,0,1,19259715,Allow all users (no expiry set),7667,10 September 2008,Mac,82,1,2008-09-10,2008-09,2008
203,Climate change in New Jersey,https://en.wikipedia.org/wiki/Climate_change_in_New_Jersey,11,1,0,1,0,4,0,0,0,0.09090909091,0.3636363636,0.09090909091,0,0.1818181818,61213190,Allow all users (no expiry set),12235,5 July 2019,JEN9841,19,0,2019-07-05,2019-07,2019
204,Indigenous Peoples Climate Change Assessment Initiative,https://en.wikipedia.org/wiki/Indigenous_Peoples_Climate_Change_Assessment_Initiative,8,0,3,0,2,2,0,0,0.375,0,0.25,0,0.25,0.625,25319003,Allow all users (no expiry set),9877,5 December 2009,Bruceanthro,73,0,2009-12-05,2009-12,2009
205,Climate change in Senegal,https://en.wikipedia.org/wiki/Climate_change_in_Senegal,25,7,12,1,0,1,0,0,0.48,0.04,0.04,0.28,0,0.8,59045680,Allow all users (no expiry set),15226,13 November 2018,Jarble,91,1,2018-11-13,2018-11,2018
206,UK Health Alliance on Climate Change,https://en.wikipedia.org/wiki/UK_Health_Alliance_on_Climate_Change,42,9,14,1,0,8,0,2,0.3333333333,0.02380952381,0.1904761905,0.2142857143,0,0.5714285714,55965011,Allow all users (no expiry set),24824,4 December 2017,Verkkila,129,0,2017-12-04,2017-12,2017
207,Climate change in Grenada,https://en.wikipedia.org/wiki/Climate_change_in_Grenada,3,1,0,0,0,1,0,0,0,0,0.3333333333,0.3333333333,0,0.3333333333,41425885,Allow all users (no expiry set),3144,21 December 2013,Djembayz,15,0,2013-12-21,2013-12,2013
208,Co-benefits of climate change mitigation,https://en.wikipedia.org/wiki/Co-benefits_of_climate_change_mitigation,35,17,4,2,1,1,0,0,0.1142857143,0.05714285714,0.02857142857,0.4857142857,0.02857142857,0.6857142857,49474274,Allow all users (no expiry set),25758,18 February 2016,AhlgrenTweets,50,4,2016-02-18,2016-02,2016
209,Climate change mitigation framework,https://en.wikipedia.org/wiki/Climate_change_mitigation_framework,17,7,2,0,1,0,0,0,0.1176470588,0,0,0.4117647059,0.05882352941,0.5882352941,62018156,Allow all users (no expiry set),16038,9 October 2019,LaurenSkirball,71,0,2019-10-09,2019-10,2019
210,Pan-Canadian Framework on Clean Growth and Climate Change,https://en.wikipedia.org/wiki/Pan-Canadian_Framework_on_Clean_Growth_and_Climate_Change,14,1,0,0,0,1,0,0,0,0,0.07142857143,0.07142857143,0,0.07142857143,64626807,Allow all users (no expiry set),10384,23 July 2020,Oceanflynn,22,0,2020-07-23,2020-07,2020
211,Climate change in West Virginia,https://en.wikipedia.org/wiki/Climate_change_in_West_Virginia,6,1,1,3,0,0,0,0,0.1666666667,0.5,0,0.1666666667,0,0.8333333333,19087239,Allow all users (no expiry set),11319,29 August 2008,Nukeless,55,0,2008-08-29,2008-08,2008
212,"Climate Change: Global Risks, Challenges and Decisions","https://en.wikipedia.org/wiki/Climate_Change:_Global_Risks,_Challenges_and_Decisions",17,1,3,0,0,1,0,3,0.1764705882,0,0.05882352941,0.05882352941,0,0.2352941176,21890764,Allow all users (no expiry set),15030,9 March 2009,Andrewjlockley,121,0,2009-03-09,2009-03,2009
213,Illustrative model of greenhouse effect on climate change,https://en.wikipedia.org/wiki/Illustrative_model_of_greenhouse_effect_on_climate_change,11,2,1,1,0,2,0,0,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0,0.3636363636,65937796,Allow all users (no expiry set),25264,25 November 2020,Dan Gluck,36,1,2020-11-25,2020-11,2020
214,Debate over China's economic responsibilities for climate change mitigation,https://en.wikipedia.org/wiki/Debate_over_China%27s_economic_responsibilities_for_climate_change_mitigation,35,1,3,1,0,11,0,0,0.08571428571,0.02857142857,0.3142857143,0.02857142857,0,0.1428571429,16374739,Allow all users (no expiry set),29669,18 March 2008,CathCarey,339,4,2008-03-18,2008-03,2008
215,Climate change litigation and the California Environmental Quality Act,https://en.wikipedia.org/wiki/Climate_change_litigation_and_the_California_Environmental_Quality_Act,52,0,10,13,0,17,0,0,0.1923076923,0.25,0.3269230769,0,0,0.4423076923,35475658,Allow all users (no expiry set),33148,3 April 2012,Ssoqo,209,0,2012-04-03,2012-04,2012
216,Climate Change Response (Emissions Trading) Amendment Act 2008,https://en.wikipedia.org/wiki/Climate_Change_Response_(Emissions_Trading)_Amendment_Act_2008,27,0,8,8,0,0,0,0,0.2962962963,0.2962962963,0,0,0,0.5925925926,28178216,Allow all users (no expiry set),27565,28 July 2010,Mrfebruary,75,0,2010-07-28,2010-07,2010
217,Water resources,https://en.wikipedia.org/wiki/Water_resources,29,3,12,4,0,2,0,2,0.4137931034,0.1379310345,0.06896551724,0.1034482759,0,0.6551724138,18581463,Require administrator access (no expiry set),31816,1 January 2003,208.186.187.81,2252,1,2003-01-01,2003-01,2003
218,Savanna,https://en.wikipedia.org/wiki/Savanna,54,4,11,1,0,6,0,0,0.2037037037,0.01851851852,0.1111111111,0.07407407407,0,0.2962962963,198843,Require autoconfirmed or confirmed access (no expiry set),32579,19 March 2003,Anthere,3194,0,2003-03-19,2003-03,2003
219,Bolivia,https://en.wikipedia.org/wiki/Bolivia,215,11,44,12,0,84,0,10,0.2046511628,0.05581395349,0.3906976744,0.0511627907,0,0.311627907,3462,Require administrator access (no expiry set),184209,13 August 2001,Koyaanis Qatsi,8262,29,2001-08-13,2001-08,2001
220,Permafrost,https://en.wikipedia.org/wiki/Permafrost,99,37,12,2,8,18,0,4,0.1212121212,0.0202020202,0.1818181818,0.3737373737,0.08080808081,0.595959596,157774,Allow all users (no expiry set),87726,14 December 2002,192.31.106.34,1386,5,2002-12-14,2002-12,2002
221,Environmental effects of aviation,https://en.wikipedia.org/wiki/Environmental_effects_of_aviation,144,29,24,6,6,42,0,0,0.1666666667,0.04166666667,0.2916666667,0.2013888889,0.04166666667,0.4513888889,6389531,Allow all users (no expiry set),81100,11 August 2006,Ecozeppelin,1539,0,2006-08-11,2006-08,2006
222,Human impact on marine life,https://en.wikipedia.org/wiki/Human_impact_on_marine_life,143,61,20,11,6,16,0,4,0.1398601399,0.07692307692,0.1118881119,0.4265734266,0.04195804196,0.6853146853,61622385,Allow all users (no expiry set),90608,28 August 2019,Jarble,353,2,2019-08-28,2019-08,2019
223,Human sex ratio,https://en.wikipedia.org/wiki/Human_sex_ratio,78,35,8,4,0,6,0,1,0.1025641026,0.05128205128,0.07692307692,0.4487179487,0,0.6025641026,16933122,Allow all users (no expiry set),59224,14 April 2008,I am not a dog,1016,3,2008-04-14,2008-04,2008
224,Environmental issues in the Philippines,https://en.wikipedia.org/wiki/Environmental_issues_in_the_Philippines,55,13,22,4,0,10,0,1,0.4,0.07272727273,0.1818181818,0.2363636364,0,0.7090909091,4243385,Allow all users (no expiry set),36870,1 March 2006,Bkwillwm,353,3,2006-03-01,2006-03,2006
225,Antarctica,https://en.wikipedia.org/wiki/Antarctica,202,56,26,31,7,20,0,1,0.1287128713,0.1534653465,0.09900990099,0.2772277228,0.03465346535,0.5940594059,18959138,Require administrator access (no expiry set),136354,3 August 2001,Mike Dill,9503,33,2001-08-03,2001-08,2001
226,Surface water,https://en.wikipedia.org/wiki/Surface_water,8,1,0,7,0,0,0,0,0,0.875,0,0.125,0,1,11717197,Allow all users (no expiry set),8419,8 June 2004,ELApro,348,0,2004-06-08,2004-06,2004
227,Environmental issues in the United Arab Emirates,https://en.wikipedia.org/wiki/Environmental_issues_in_the_United_Arab_Emirates,29,4,3,3,0,4,0,0,0.1034482759,0.1034482759,0.1379310345,0.1379310345,0,0.3448275862,51539520,Allow all users (no expiry set),31820,7 September 2016,IsabelW94,183,1,2016-09-07,2016-09,2016
228,Ocean gyre,https://en.wikipedia.org/wiki/Ocean_gyre,10,1,3,0,0,0,0,0,0.3,0,0,0.1,0,0.4,776619,Allow all users (no expiry set),8553,3 July 2004,Fullerton,387,2,2004-07-03,2004-07,2004
229,Developing country,https://en.wikipedia.org/wiki/Developing_country,157,29,57,6,0,21,0,5,0.3630573248,0.03821656051,0.1337579618,0.1847133758,0,0.5859872611,78449,Allow all users (no expiry set),103565,31 August 2002,Jaknouse,4250,11,2002-08-31,2002-08,2002
230,Health in the United States,https://en.wikipedia.org/wiki/Health_in_the_United_States,42,8,3,14,0,5,0,0,0.07142857143,0.3333333333,0.119047619,0.1904761905,0,0.5952380952,15982224,Allow all users (no expiry set),30285,27 February 2008,Neelix,80,1,2008-02-27,2008-02,2008
231,Cloud forest,https://en.wikipedia.org/wiki/Cloud_forest,40,10,5,0,0,7,0,0,0.125,0,0.175,0.25,0,0.375,58903,Allow all users (no expiry set),28218,22 June 2002,The Epopt,740,2,2002-06-22,2002-06,2002
232,Garden,https://en.wikipedia.org/wiki/Garden,18,0,1,0,0,6,0,0,0.05555555556,0,0.3333333333,0,0,0.05555555556,42139,Allow all users (no expiry set),22143,27 February 2002,Damian Yerrick,1458,0,2002-02-27,2002-02,2002
233,Lake Superior,https://en.wikipedia.org/wiki/Lake_Superior,78,5,6,11,0,13,0,0,0.07692307692,0.141025641,0.1666666667,0.0641025641,0,0.2820512821,17951,Allow all users (no expiry set),50153,28 July 2001,129.186.1.xxx,2036,2,2001-07-28,2001-07,2001
234,Amazon rainforest,https://en.wikipedia.org/wiki/Amazon_rainforest,119,34,22,2,1,28,0,8,0.1848739496,0.01680672269,0.2352941176,0.2857142857,0.008403361345,0.4957983193,48139,Require autoconfirmed or confirmed access (no expiry set),85062,7 April 2002,ClaudeMuncey,3444,8,2002-04-07,2002-04,2002
235,Tropical rainforest,https://en.wikipedia.org/wiki/Tropical_rainforest,60,27,7,1,0,6,0,4,0.1166666667,0.01666666667,0.1,0.45,0,0.5833333333,931370,Require autoconfirmed or confirmed access (no expiry set),54640,13 June 2003,Kpjas,5316,3,2003-06-13,2003-06,2003
236,Environmental issues with coral reefs,https://en.wikipedia.org/wiki/Environmental_issues_with_coral_reefs,138,33,28,24,2,24,0,4,0.2028985507,0.1739130435,0.1739130435,0.2391304348,0.01449275362,0.6304347826,27687935,Allow all users (no expiry set),94138,12 June 2010,Alan Liefting,610,12,2010-06-12,2010-06,2010
237,Ganges,https://en.wikipedia.org/wiki/Ganges,164,17,12,4,2,74,0,1,0.07317073171,0.0243902439,0.4512195122,0.1036585366,0.01219512195,0.2134146341,12448,Allow all users (no expiry set),141257,14 August 2001,64.20.82.xxx,6542,20,2001-08-14,2001-08,2001
238,Climate apocalypse,https://en.wikipedia.org/wiki/Climate_apocalypse,104,27,18,3,2,35,0,4,0.1730769231,0.02884615385,0.3365384615,0.2596153846,0.01923076923,0.4807692308,61728990,Allow all users (no expiry set),71356,8 September 2019,Bluerasberry,353,1,2019-09-08,2019-09,2019
239,Water scarcity in Africa,https://en.wikipedia.org/wiki/Water_scarcity_in_Africa,64,10,30,1,0,11,0,0,0.46875,0.015625,0.171875,0.15625,0,0.640625,31150404,Allow all users (no expiry set),63469,11 March 2011,U091800L,604,0,2011-03-11,2011-03,2011
240,Wetland,https://en.wikipedia.org/wiki/Wetland,112,42,21,15,0,8,0,0,0.1875,0.1339285714,0.07142857143,0.375,0,0.6964285714,102024,Allow all users (no expiry set),105656,5 September 2001,Pinkunicorn,3972,5,2001-09-05,2001-09,2001
241,Taiga,https://en.wikipedia.org/wiki/Taiga,91,18,12,2,0,19,0,0,0.1318681319,0.02197802198,0.2087912088,0.1978021978,0,0.3516483516,31302,Require administrator access (no expiry set),66666,25 February 2002,Conversion script,3422,5,2002-02-25,2002-02,2002
242,Geography of Greenland,https://en.wikipedia.org/wiki/Geography_of_Greenland,24,2,3,1,0,7,0,0,0.125,0.04166666667,0.2916666667,0.08333333333,0,0.25,12120,Allow all users (no expiry set),28614,4 May 2001,KoyaanisQatsi,375,4,2001-05-04,2001-05,2001
243,Rice,https://en.wikipedia.org/wiki/Rice,166,37,43,9,0,35,0,1,0.2590361446,0.05421686747,0.2108433735,0.2228915663,0,0.5361445783,36979,Require administrator access (no expiry set),119797,25 February 2002,Clasqm,6696,1,2002-02-25,2002-02,2002
244,Atlantic puffin,https://en.wikipedia.org/wiki/Atlantic_puffin,75,22,14,2,0,8,0,0,0.1866666667,0.02666666667,0.1066666667,0.2933333333,0,0.5066666667,202418,Allow all users (no expiry set),71555,28 March 2003,Jimfbleak,1612,2,2003-03-28,2003-03,2003
245,Boreal ecosystem,https://en.wikipedia.org/wiki/Boreal_ecosystem,23,14,1,1,1,0,0,0,0.04347826087,0.04347826087,0,0.6086956522,0.04347826087,0.7391304348,9852997,Allow all users (no expiry set),14037,4 March 2007,Pengo,103,4,2007-03-04,2007-03,2007
246,Human impact on the environment,https://en.wikipedia.org/wiki/Human_impact_on_the_environment,208,58,27,15,4,32,1,14,0.1298076923,0.07211538462,0.1538461538,0.2788461538,0.01923076923,0.5048076923,1728672,Allow all users (no expiry set),150944,12 April 2005,V8rik,1958,11,2005-04-12,2005-04,2005
247,James Hansen,https://en.wikipedia.org/wiki/James_Hansen,136,52,14,5,1,33,0,5,0.1029411765,0.03676470588,0.2426470588,0.3823529412,0.007352941176,0.5294117647,890916,Allow all users (no expiry set),104485,10 August 2004,Ed Poor,1980,2,2004-08-10,2004-08,2004
248,Rat snake,https://en.wikipedia.org/wiki/Rat_snake,17,10,1,0,0,2,0,0,0.05882352941,0,0.1176470588,0.5882352941,0,0.6470588235,241311,Allow all users (no expiry set),24195,6 June 2003,Marknen,519,3,2003-06-06,2003-06,2003
249,Antarctic Peninsula,https://en.wikipedia.org/wiki/Antarctic_Peninsula,38,11,5,3,0,6,0,0,0.1315789474,0.07894736842,0.1578947368,0.2894736842,0,0.5,573762,Allow all users (no expiry set),47841,3 April 2004,TOttenville8,571,2,2004-04-03,2004-04,2004
250,Sundarbans,https://en.wikipedia.org/wiki/Sundarbans,81,10,19,3,0,22,0,1,0.2345679012,0.03703703704,0.2716049383,0.1234567901,0,0.3950617284,1490376,Allow all users (no expiry set),79381,10 February 2005,Shmitra,1876,6,2005-02-10,2005-02,2005
251,Climate variability and change,https://en.wikipedia.org/wiki/Climate_variability_and_change,133,73,6,19,4,6,0,0,0.04511278195,0.1428571429,0.04511278195,0.5488721805,0.03007518797,0.7669172932,47512,Require autoconfirmed or confirmed access (no expiry set),98394,3 April 2002,Mav,4990,0,2002-04-03,2002-04,2002
252,Tropical rain belt,https://en.wikipedia.org/wiki/Tropical_rain_belt,7,0,2,2,0,2,0,0,0.2857142857,0.2857142857,0.2857142857,0,0,0.5714285714,1965462,Allow all users (no expiry set),9431,31 May 2005,205.188.116.65,113,0,2005-05-31,2005-05,2005
253,Wildlife observation,https://en.wikipedia.org/wiki/Wildlife_observation,46,3,20,5,0,8,0,0,0.4347826087,0.1086956522,0.1739130435,0.0652173913,0,0.6086956522,13984801,Allow all users (no expiry set),34023,30 October 2007,Alexjthomas,86,0,2007-10-30,2007-10,2007
254,Glacier,https://en.wikipedia.org/wiki/Glacier,76,10,11,10,0,9,0,0,0.1447368421,0.1315789474,0.1184210526,0.1315789474,0,0.4078947368,12463,Require administrator access (no expiry set),63217,18 August 2001,216.60.221.xxx,5466,8,2001-08-18,2001-08,2001
255,White-tailed deer,https://en.wikipedia.org/wiki/White-tailed_deer,123,30,15,15,0,27,0,0,0.1219512195,0.1219512195,0.2195121951,0.243902439,0,0.487804878,569459,Allow all users (no expiry set),92349,1 April 2004,12.75.106.18,4426,8,2004-04-01,2004-04,2004
256,Food system,https://en.wikipedia.org/wiki/Food_system,53,9,12,1,1,3,0,0,0.2264150943,0.01886792453,0.05660377358,0.1698113208,0.01886792453,0.4339622642,20548520,Allow all users (no expiry set),40994,4 December 2008,Kkibumba,297,43,2008-12-04,2008-12,2008
257,Florida mangroves,https://en.wikipedia.org/wiki/Florida_mangroves,17,4,2,1,1,0,0,0,0.1176470588,0.05882352941,0,0.2352941176,0.05882352941,0.4705882353,5847309,Allow all users (no expiry set),24663,6 July 2006,Donald Albury,230,0,2006-07-06,2006-07,2006
258,Climate of Africa,https://en.wikipedia.org/wiki/Climate_of_Africa,32,5,5,4,1,6,0,0,0.15625,0.125,0.1875,0.15625,0.03125,0.46875,30882307,Allow all users (no expiry set),19023,15 February 2011,Thegreatdr,492,2,2011-02-15,2011-02,2011
259,North Atlantic right whale,https://en.wikipedia.org/wiki/North_Atlantic_right_whale,169,16,44,20,0,38,0,0,0.2603550296,0.1183431953,0.224852071,0.09467455621,0,0.4733727811,311103,Allow all users (no expiry set),101988,4 September 2003,Pcb21,884,0,2003-09-04,2003-09,2003
260,Climate of Ecuador,https://en.wikipedia.org/wiki/Climate_of_Ecuador,4,0,1,0,0,3,0,0,0.25,0,0.75,0,0,0.25,17530792,Allow all users (no expiry set),3336,20 May 2008,Naerii,190,0,2008-05-20,2008-05,2008
261,Indus River,https://en.wikipedia.org/wiki/Indus_River,81,5,11,1,0,39,0,2,0.1358024691,0.01234567901,0.4814814815,0.06172839506,0,0.2098765432,15490,Allow all users (no expiry set),61410,11 November 2001,Zundark,4341,34,2001-11-11,2001-11,2001
262,Southern Ocean,https://en.wikipedia.org/wiki/Southern_Ocean,123,15,5,35,0,37,0,0,0.0406504065,0.2845528455,0.3008130081,0.1219512195,0,0.4471544715,20611428,Allow all users (no expiry set),113676,27 March 2001,Stephen Gilbert,2024,1,2001-03-27,2001-03,2001
263,World Health Day,https://en.wikipedia.org/wiki/World_Health_Day,38,0,6,1,0,3,0,0,0.1578947368,0.02631578947,0.07894736842,0,0,0.1842105263,1734336,Allow all users (no expiry set),26151,13 April 2005,Bhadani,485,4,2005-04-13,2005-04,2005
264,Island country,https://en.wikipedia.org/wiki/Island_country,15,0,2,1,0,12,0,0,0.1333333333,0.06666666667,0.8,0,0,0.2,525000,Allow all users (no expiry set),10557,14 March 2004,SimonP,780,0,2004-03-14,2004-03,2004
265,Climate psychology,https://en.wikipedia.org/wiki/Climate_psychology,26,12,3,0,0,2,0,0,0.1153846154,0,0.07692307692,0.4615384615,0,0.5769230769,63662981,Allow all users (no expiry set),14139,15 April 2020,Eswills,60,8,2020-04-15,2020-04,2020
266,Ocean,https://en.wikipedia.org/wiki/Ocean,127,23,24,25,2,28,0,0,0.188976378,0.1968503937,0.2204724409,0.1811023622,0.0157480315,0.5826771654,18842359,Require administrator access (no expiry set),99441,25 March 2001,WojPob,5794,3,2001-03-25,2001-03,2001
267,Victoria Falls,https://en.wikipedia.org/wiki/Victoria_Falls,49,6,7,1,0,14,0,1,0.1428571429,0.02040816327,0.2857142857,0.1224489796,0,0.2857142857,192485,Allow all users (no expiry set),42848,6 March 2003,213.78.90.48,3264,4,2003-03-06,2003-03,2003
268,Ringed seal,https://en.wikipedia.org/wiki/Ringed_seal,21,7,0,3,0,3,0,0,0,0.1428571429,0.1428571429,0.3333333333,0,0.4761904762,265189,Allow all users (no expiry set),30232,11 July 2003,Caid Raspa,467,0,2003-07-11,2003-07,2003
269,Climate resilience,https://en.wikipedia.org/wiki/Climate_resilience,34,18,7,2,1,1,0,0,0.2058823529,0.05882352941,0.02941176471,0.5294117647,0.02941176471,0.8235294118,42673705,Allow all users (no expiry set),32678,5 May 2014,Ovaltine Carter,267,2,2014-05-05,2014-05,2014
270,Rocky Mountain elk,https://en.wikipedia.org/wiki/Rocky_Mountain_elk,9,1,2,2,0,2,0,0,0.2222222222,0.2222222222,0.2222222222,0.1111111111,0,0.5555555556,17439941,Allow all users (no expiry set),8382,15 May 2008,Buaidh,140,0,2008-05-15,2008-05,2008
271,Polar bear,https://en.wikipedia.org/wiki/Polar_bear,232,63,51,10,0,32,0,0,0.2198275862,0.04310344828,0.1379310345,0.2715517241,0,0.5344827586,24408,Require administrator access (no expiry set),150290,20 October 2001,Clasqm,7491,1,2001-10-20,2001-10,2001
272,Agriculture,https://en.wikipedia.org/wiki/Agriculture,257,52,57,9,10,26,0,6,0.2217898833,0.03501945525,0.1011673152,0.2023346304,0.03891050584,0.4980544747,627,Require autoconfirmed or confirmed access (no expiry set),154173,8 November 2001,24.78.101.xxx,7387,17,2001-11-08,2001-11,2001
273,Sinking cities,https://en.wikipedia.org/wiki/Sinking_cities,29,9,8,2,1,3,0,1,0.275862069,0.06896551724,0.1034482759,0.3103448276,0.03448275862,0.6896551724,62534391,Allow all users (no expiry set),28967,8 December 2019,Wbliss10,75,0,2019-12-08,2019-12,2019
274,Pacific Remote Islands Marine National Monument,https://en.wikipedia.org/wiki/Pacific_Remote_Islands_Marine_National_Monument,14,1,3,5,0,5,0,0,0.2142857143,0.3571428571,0.3571428571,0.07142857143,0,0.6428571429,5793405,Allow all users (no expiry set),17680,2 July 2006,DiSpUtEd OnE,197,0,2006-07-02,2006-07,2006
275,Climate of South Africa,https://en.wikipedia.org/wiki/Climate_of_South_Africa,11,1,2,2,0,4,0,0,0.1818181818,0.1818181818,0.3636363636,0.09090909091,0,0.4545454545,14711765,Allow all users (no expiry set),13855,15 December 2007,Toussaint,391,1,2007-12-15,2007-12,2007
276,Marsupial lawn,https://en.wikipedia.org/wiki/Marsupial_lawn,10,1,1,2,0,2,0,0,0.1,0.2,0.2,0.1,0,0.4,31528834,Allow all users (no expiry set),14055,18 April 2011,Mmdrewser,47,0,2011-04-18,2011-04,2011
277,Andean agriculture,https://en.wikipedia.org/wiki/Andean_agriculture,12,7,0,0,0,1,0,0,0,0,0.08333333333,0.5833333333,0,0.5833333333,56727217,Allow all users (no expiry set),19942,2 March 2018,Beckleyt,63,0,2018-03-02,2018-03,2018
278,Snow bunting,https://en.wikipedia.org/wiki/Snow_bunting,23,12,3,1,0,0,0,0,0.1304347826,0.04347826087,0,0.5217391304,0,0.6956521739,240454,Allow all users (no expiry set),33383,5 June 2003,Jimfbleak,269,0,2003-06-05,2003-06,2003
279,Michael Greenstone,https://en.wikipedia.org/wiki/Michael_Greenstone,32,0,19,0,0,5,0,0,0.59375,0,0.15625,0,0,0.59375,56539516,Allow all users (no expiry set),20654,9 February 2018,Arbraxan,34,1,2018-02-09,2018-02,2018
280,Wildlife conservation,https://en.wikipedia.org/wiki/Wildlife_conservation,48,12,14,10,0,3,1,0,0.2916666667,0.2083333333,0.0625,0.25,0,0.7708333333,1765998,Allow all users (no expiry set),32513,19 April 2005,Phlebas,1175,0,2005-04-19,2005-04,2005
281,Environmental issues in Haiti,https://en.wikipedia.org/wiki/Environmental_issues_in_Haiti,20,12,3,1,0,0,0,0,0.15,0.05,0,0.6,0,0.8,4243296,Allow all users (no expiry set),22248,1 March 2006,Bkwillwm,134,0,2006-03-01,2006-03,2006
282,Heat wave,https://en.wikipedia.org/wiki/Heat_wave,61,25,4,8,0,18,0,0,0.06557377049,0.131147541,0.2950819672,0.4098360656,0,0.606557377,293270,Allow all users (no expiry set),45188,10 August 2003,Arvindn,1971,8,2003-08-10,2003-08,2003
283,Food security,https://en.wikipedia.org/wiki/Food_security,263,70,72,22,3,42,0,9,0.2737642586,0.08365019011,0.1596958175,0.2661596958,0.01140684411,0.6349809886,216361,Allow all users (no expiry set),181459,25 April 2003,BigFatBuddha,2394,8,2003-04-25,2003-04,2003
